cudl_classmark,cudl_label,cudl_manifest_url,best_delta,neighbor_norm,neighbor_sys_id,neighbor_call_numbers,all_neighbors
tsas84.27,MS-TS-AS-00084-00027,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00027,-1,tsas84.26,990025084670205171,Cambridge University Library Ms. T-S AS 84.26 | Ms. T-S AS 84.26 | T-S AS 84.26,d-1=tsas84.26->990025084670205171; d+1=tsas84.28->990025084790205171; d-2=tsas84.25->990025084600205171; d+2=tsas84.29->990025084900205171
tsas84.35,MS-TS-AS-00084-00035,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00035,-1,tsas84.34,990051949110205171,T-S AS 84.34,d-1=tsas84.34->990051949110205171; d+1=tsas84.36->990025085590205171; d-2=tsas84.33->990025085330205171
tsas84.37,MS-TS-AS-00084-00037,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00037,-1,tsas84.36,990025085590205171,Cambridge University Library Ms. T-S AS 84.36 | Ms. T-S AS 84.36 | T-S AS 84.36,d-1=tsas84.36->990025085590205171; d+2=tsas84.39->990025085730205171
tsas84.38,MS-TS-AS-00084-00038,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00038,1,tsas84.39,990025085730205171,Cambridge University Library Ms. T-S AS 84.39 | Ms. T-S AS 84.39 | T-S AS 84.39,d+1=tsas84.39->990025085730205171; d-2=tsas84.36->990025085590205171; d+2=tsas84.40->990051949120205171
tsas84.72,MS-TS-AS-00084-00072,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00072,-1,tsas84.71,990025088060205171,Cambridge University Library Ms. T-S AS 84.71 | Ms. T-S AS 84.71 | T-S AS 84.71,d-1=tsas84.71->990025088060205171; d-2=tsas84.70->990051949380205171
tsas84.73,MS-TS-AS-00084-00073,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00073,-2,tsas84.71,990025088060205171,Cambridge University Library Ms. T-S AS 84.71 | Ms. T-S AS 84.71 | T-S AS 84.71,d-2=tsas84.71->990025088060205171
tsas84.74,MS-TS-AS-00084-00074,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00074,2,tsas84.76,990051949390205171,Cambridge University Library Ms. T-S AS 84.76 | Ms. T-S AS 84.76 | T-S AS 84.76,d+2=tsas84.76->990051949390205171
tsas84.75,MS-TS-AS-00084-00075,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00075,1,tsas84.76,990051949390205171,Cambridge University Library Ms. T-S AS 84.76 | Ms. T-S AS 84.76 | T-S AS 84.76,d+1=tsas84.76->990051949390205171; d+2=tsas84.77->990025088280205171
tsas84.87,MS-TS-AS-00084-00087,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00087,-1,tsas84.86,990051949480205171,Cambridge University Library Ms. T-S AS 84.86 | Ms. T-S AS 84.86 | T-S AS 84.86,d-1=tsas84.86->990051949480205171; d+1=tsas84.88->990025091060205171; d-2=tsas84.85->990051949470205171; d+2=tsas84.89->990051949490205171
tsas84.90,MS-TS-AS-00084-00090,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00090,-1,tsas84.89,990051949490205171,T-S AS 84.89,d-1=tsas84.89->990051949490205171; d+1=tsas84.91->990025092420205171; d-2=tsas84.88->990025091060205171; d+2=tsas84.92->990025092440205171
tsas84.96,MS-TS-AS-00084-00096,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00096,-1,tsas84.95,990051949510205171,Cambridge University Library Ms. T-S AS 84.95 | Ms. T-S AS 84.95 | T-S AS 84.95,d-1=tsas84.95->990051949510205171; d-2=tsas84.94->990025092500205171; d+2=tsas84.98->990025092670205171
tsas84.97,MS-TS-AS-00084-00097,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00097,1,tsas84.98,990025092670205171,Cambridge University Library Ms. T-S AS 84.98 | Ms. T-S AS 84.98 | T-S AS 84.98,d+1=tsas84.98->990025092670205171; d-2=tsas84.95->990051949510205171; d+2=tsas84.99->990025092730205171
tsas84.123,MS-TS-AS-00084-00123,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00123,-1,tsas84.122,990051949700205171,T-S AS 84.122,d-1=tsas84.122->990051949700205171; d+1=tsas84.124->990025093540205171; d-2=tsas84.121->990051949690205171; d+2=tsas84.125->990051949710205171
tsas84.154,MS-TS-AS-00084-00154,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00154,-1,tsas84.153,990051949870205171,T-S AS 84.153,d-1=tsas84.153->990051949870205171; d-2=tsas84.152->990051949860205171
tsas84.155,MS-TS-AS-00084-00155,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00155,-2,tsas84.153,990051949870205171,T-S AS 84.153,d-2=tsas84.153->990051949870205171
tsas84.156,MS-TS-AS-00084-00156,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00156,2,tsas84.158,990025095830205171,Cambridge University Library Ms. T-S AS 84.158 | Ms. T-S AS 84.158 | T-S AS 84.158,d+2=tsas84.158->990025095830205171
tsas84.157,MS-TS-AS-00084-00157,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00157,1,tsas84.158,990025095830205171,Cambridge University Library Ms. T-S AS 84.158 | Ms. T-S AS 84.158 | T-S AS 84.158,d+1=tsas84.158->990025095830205171
tsas84.159,MS-TS-AS-00084-00159,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00159,-1,tsas84.158,990025095830205171,Cambridge University Library Ms. T-S AS 84.158 | Ms. T-S AS 84.158 | T-S AS 84.158,d-1=tsas84.158->990025095830205171
tsas84.160,MS-TS-AS-00084-00160,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00160,-2,tsas84.158,990025095830205171,Cambridge University Library Ms. T-S AS 84.158 | Ms. T-S AS 84.158 | T-S AS 84.158,d-2=tsas84.158->990025095830205171
tsas84.163,MS-TS-AS-00084-00163,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00163,2,tsas84.165,990025095980205171,Cambridge University Library Ms. T-S AS 84.165 | Ms. T-S AS 84.165 | T-S AS 84.165,d+2=tsas84.165->990025095980205171
tsas84.164,MS-TS-AS-00084-00164,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00164,1,tsas84.165,990025095980205171,Cambridge University Library Ms. T-S AS 84.165 | Ms. T-S AS 84.165 | T-S AS 84.165,d+1=tsas84.165->990025095980205171; d+2=tsas84.166->990051949880205171
tsas84.186,MS-TS-AS-00084-00186,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00186,-1,tsas84.185,990051950010205171,Cambridge University Library Ms. T-S AS 84.185 | Ms. T-S AS 84.185 | T-S AS 84.185,d-1=tsas84.185->990051950010205171; d+1=tsas84.187->990025097770205171; d-2=tsas84.184->990051950000205171; d+2=tsas84.188->990025098810205171
tsas84.200,MS-TS-AS-00084-00200,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00200,-1,tsas84.199,990051950090205171,Cambridge University Library Ms. T-S AS 84.199 | Ms. T-S AS 84.199 | T-S AS 84.199,d-1=tsas84.199->990051950090205171; d+1=tsas84.201->990025099900205171; d-2=tsas84.198->990051950080205171
tsas84.202,MS-TS-AS-00084-00202,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00084-00202,-1,tsas84.201,990025099900205171,Cambridge University Library Ms. T-S AS 84.201 | Ms. T-S AS 84.201 | T-S AS 84.201,d-1=tsas84.201->990025099900205171; d+1=tsas84.203->990025099980205171; d+2=tsas84.204->990051950100205171
